Site Name,visual,baitlure,baittype,luretype,baitluretype,KS,detection,qual
PLP 3-1,suet,yes,beaver,salmon,beaver.salmon,no,yes,4
KL 1-3,suet,yes,beaver,salmon,beaver.salmon,no,yes,4
HK 1-1,PVC,yes,paste,salmon,paste.salmon,no,yes,4
HK 1-2,scale,yes,paste,gusto,paste.gusto,yes,yes,3
HK 1-3,suet,yes,beaver,supreme,beaver.supreme,no,yes,4
TD 1-1,suet,yes,beaver,gusto,beaver.gusto,no,yes,3
TD 1-2,scale,yes,paste,salmon,paste.salmon,yes,yes,4
TD 1-3,PVC,yes,paste,supreme,paste.supreme,yes,yes,3
TD 2-2,suet,no,none,none,none,no,yes,2
MP 2-1,PVC,no,none,none,none,no,yes,4
LR 1-3,suet,yes,beaver,supreme,beaver.supreme,no,yes,4
TD 3-1,suet,yes,beaver,gusto,beaver.gusto,no,yes,1
KL 2-2,PVC,yes,paste,gusto,paste.gusto,no,yes,3
TD 4-3,suet,no,none,none,none,no,yes,2
PLP 4-1,PVC,no,none,none,none,no,yes,2
PLP 4-3,scale,no,none,none,none,no,yes,3
PLP 5-2,scale,yes,paste,salmon,paste.salmon,yes,yes,3
CI 2-1,suet,yes,beaver,salmon,beaver.salmon,no,Yes,1
CI 2-3,PVC,yes,paste,supreme,paste.supreme,no,Yes,1
LR 2-1,PVC,yes,paste,salmon,paste.salmon,no,yes,3
BR 1-1,suet,yes,beaver,gusto,beaver.gusto,no,yes,1
BR 1-3,PVC,yes,paste,supreme,paste.supreme,no,yes,3
LR 3-1,PVC,no,none,none,none,yes,yes,3
TD 6-2,scale,no,none,none,none,no,yes,2
BR 2-1,PVC,no,none,none,none,no,yes,2
BR 2-2,suet,yes,beaver,salmon,beaver.salmon,no,yes,4
BR 2-3,scale,yes,paste,gusto,paste.gusto,no,yes,2
BR 3-1,PVC,yes,beaver,salmon,beaver.salmon,no,yes,3
BR 3-2,scale,yes,paste,supreme,paste.supreme,no,yes,3
BR 3-3,suet,yes,beaver,gusto,beaver.gusto,yes,yes,2
TD 7-1,PVC,no,none,none,none,no,yes,2
TD 5-1,suet,yes,beaver,supreme,beaver.supreme,no,yes,4
SH 1-2,scale,yes,paste,gusto,paste.gusto,no,yes,3
SH 1-3,PVC,yes,paste,salmon,paste.salmon,no,yes,4
BR 4-1,PVC,yes,paste,salmon,paste.salmon,no,yes,4
BR 4-3,suet,yes,beaver,supreme,beaver.supreme,no,yes,4
SH 2-2,suet,yes,beaver,gusto,beaver.gusto,no,yes,4
BR 5-3,suet,yes,beaver,salmon,beaver.salmon,no,yes,4
