Site Name,Date Deployed,Date Removed,active,visual,baitlure,baittype,luretype,baitluretype,KS,detection,avg.photo,high.photo
PLP 3-1,11/18/2022,1/16/2023,59,suet,yes,beaver,salmon,beaver.salmon,no,yes,5,5
KL 1-3,11/12/2022,2/10/2023,90,suet,yes,beaver,salmon,beaver.salmon,no,yes,57,57
HK 1-1,11/12/2022,1/13/2023,62,PVC,yes,paste,salmon,paste.salmon,no,yes,8.5,9
HK 1-2,11/12/2022,1/13/2023,62,scale,yes,paste,gusto,paste.gusto,yes,yes,2,2
HK 1-3,11/12/2022,1/13/2023,62,suet,yes,beaver,supreme,beaver.supreme,no,yes,3,3
TD 1-1,11/18/2022,1/16/2023,59,suet,yes,beaver,gusto,beaver.gusto,no,yes,1,1
TD 1-2,11/18/2022,1/16/2023,59,scale,yes,paste,salmon,paste.salmon,yes,yes,7.3,22
TD 1-3,11/18/2022,1/16/2023,59,PVC,yes,paste,supreme,paste.supreme,yes,yes,4,5
TD 2-2,11/18/2022,3/26/2023,128,suet,no,none,none,none.none,no,yes,1,1
MP 2-1,11/23/2022,3/5/2023,102,PVC,no,none,none,none.none,no,yes,1,1
LR 1-3,1/13/2023,4/10/2023,87,suet,yes,beaver,supreme,beaver.supreme,no,yes,16,16
TD 3-1,1/16/2023,6/17/2023,152,suet,yes,beaver,gusto,beaver.gusto,no,yes,1,1
KL 2-2,2/10/2023,6/17/2023,127,PVC,yes,paste,gusto,paste.gusto,no,yes,3,3
TD 4-3,3/26/2023,7/16/2023,112,suet,no,none,none,none.none,no,yes,1,1
PLP 4-1,3/26/2023,7/30/2023,126,PVC,no,none,none,none.none,no,yes,5,5
PLP 4-3,3/26/2023,7/30/2023,126,scale,no,none,none,none.none,no,yes,11,19
PLP 5-2,3/26/2023,7/1/2023,97,scale,yes,paste,salmon,paste.salmon,yes,yes,2,2
CI 2-1,4/10/2023,7/16/2023,97,suet,yes,beaver,salmon,beaver.salmon,no,Yes,1,1
CI 2-3,4/10/2023,7/16/2023,97,PVC,yes,paste,supreme,paste.supreme,no,Yes,1,1
LR 2-1,4/10/2023,7/16/2023,97,PVC,yes,paste,salmon,paste.salmon,no,Yes,1,1
BR 1-1,7/1/2023,8/26/2023,56,suet,yes,beaver,gusto,beaver.gusto,no,yes,1,1
BR 1-3,7/1/2023,8/26/2023,56,PVC,yes,paste,supreme,paste.supreme,no,yes,2.4,3
LR 3-1,7/16/2023,8/26/2023,41,PVC,no,none,none,none.none,yes,yes,1,1
TD 6-2,7/16/2023,8/26/2023,41,scale,no,none,none,none.none,no,yes,1,1
BR 2-1,8/26/2023,10/27/2023,62,PVC,no,none,none,none.none,no,yes,1.75,3
BR 2-2,8/26/2023,10/27/2023,62,suet,yes,beaver,salmon,beaver.salmon,no,yes,2.9,8
BR 2-3,8/26/2023,10/27/2023,62,scale,yes,paste,gusto,paste.gusto,no,yes,4,7
BR 3-1,8/26/2023,10/27/2023,62,PVC,yes,beaver,salmon,beaver.salmon,no,yes,1.8,4
BR 3-2,8/26/2023,10/27/2023,62,scale,yes,paste,supreme,paste.supreme,no,yes,1.6,3
BR 3-3,8/26/2023,10/27/2023,62,suet,yes,beaver,gusto,beaver.gusto,yes,yes,2,2
TD 7-1,9/1/2023,10/27/2023,29,PVC,no,none,none,none.none,no,yes,3,3
TD 5-1,7/1/2023,10/27/2023,118,suet,yes,beaver,supreme,beaver.supreme,no,yes,6,6
SH 1-2,7/8/2023,10/27/2023,107,scale,yes,paste,gusto,paste.gusto,no,yes,3,3
SH 1-3,7/16/2023,11/26/2023,126,PVC,yes,paste,salmon,paste.salmon,no,yes,6,6
BR 4-1,9/22/2023,11/26/2023,65,PVC,yes,paste,salmon,paste.salmon,no,yes,3,3
BR 4-3,9/22/2023,11/26/2023,65,suet,yes,beaver,supreme,beaver.supreme,no,yes,5,5
SH 2-2,11/30/2023,2/2/2024,64,suet,yes,beaver,gusto,beaver.gusto,no,yes,7,7
BR 5-3,11/26/2023,1/12/2024,47,suet,yes,beaver,salmon,beaver.salmon,no,yes,4.5,7
